Title	URL	Assignees	Status
Create list of users	https://github.com/krd81/T1A3_TerminalApp/issues/5		Done
Additional *nice to have* features	https://github.com/krd81/T1A3_TerminalApp/issues/16		Todo
Implement persistence	https://github.com/krd81/T1A3_TerminalApp/issues/19		Research/Study
Add additional search features - genre/actor	https://github.com/krd81/T1A3_TerminalApp/issues/11		Done
Find movie database for film titles	https://github.com/krd81/T1A3_TerminalApp/issues/4		Done
Create login feature - request username/password	https://github.com/krd81/T1A3_TerminalApp/issues/2		Done
Tidy up menu flows (prevent early exit)	https://github.com/krd81/T1A3_TerminalApp/issues/14		Done
Movie descriptions need to be wrapped	https://github.com/krd81/T1A3_TerminalApp/issues/13		Done
Movie list is too long	https://github.com/krd81/T1A3_TerminalApp/issues/6		Done
Ability to go back to menu/search list	https://github.com/krd81/T1A3_TerminalApp/issues/12		Done
Implement rental feature	https://github.com/krd81/T1A3_TerminalApp/issues/3		Done
Create menu	https://github.com/krd81/T1A3_TerminalApp/issues/1		Done
Re-factor code where possible	https://github.com/krd81/T1A3_TerminalApp/issues/17		Done
Exception handling	https://github.com/krd81/T1A3_TerminalApp/issues/8		Done
How to install the application/Bash script	https://github.com/krd81/T1A3_TerminalApp/issues/9		Done
Style Guide	https://github.com/krd81/T1A3_TerminalApp/issues/20		Done
Updating README doc	https://github.com/krd81/T1A3_TerminalApp/issues/10		Done
Ensure all requirements are included	https://github.com/krd81/T1A3_TerminalApp/issues/18		Done
Packages to include	https://github.com/krd81/T1A3_TerminalApp/issues/7		Done
Testing	https://github.com/krd81/T1A3_TerminalApp/issues/15		Done
